Ticker,Exchange,Full ticker
RCO,EURONEXT - EURONEXT PARIS,RCO
ADEN,SIX SWISS EXCHANGE,ADEN
DSY,EURONEXT - EURONEXT PARIS,DSY
AHT,LONDON STOCK EXCHANGE,AHT
BWY,LONDON STOCK EXCHANGE,BWY
FOUR,LONDON STOCK EXCHANGE,FOUR
GJF,OSLO BORS ASA,GJF
GBF,XETRA,GBF.DE
COA,LONDON STOCK EXCHANGE,COA
CPG,LONDON STOCK EXCHANGE,CPG
CRDA,LONDON STOCK EXCHANGE,CRDA
RS1,LONDON STOCK EXCHANGE,RS1
SXS,LONDON STOCK EXCHANGE,SXS
REDD,LONDON STOCK EXCHANGE,REDD
DGE,LONDON STOCK EXCHANGE,DGE
HAL,EURONEXT - EURONEXT AMSTERDAM,HAL
INCH,LONDON STOCK EXCHANGE,INCH
HELN,SIX SWISS EXCHANGE,HELN
KGF,LONDON STOCK EXCHANGE,KGF
PAG,LONDON STOCK EXCHANGE,PAG
VAR,OSLO BORS ASA,VAR
NXT,LONDON STOCK EXCHANGE,NXT
OXIG,LONDON STOCK EXCHANGE,OXIG
PRU,LONDON STOCK EXCHANGE,PRU
STJ,LONDON STOCK EXCHANGE,STJ
NWG,LONDON STOCK EXCHANGE,NWG
SVS,LONDON STOCK EXCHANGE,SVS
PNN,LONDON STOCK EXCHANGE,PNN
TW.,LONDON STOCK EXCHANGE,TW.
TSCO,LONDON STOCK EXCHANGE,TSCO
ABBN,SIX SWISS EXCHANGE,ABBN
BELL,SIX SWISS EXCHANGE,BELL
SAVE,NASDAQ STOCKHOLM AB,SAVE
BOSN,SIX SWISS EXCHANGE,BOSN
BUCN,SIX SWISS EXCHANGE,BUCN
JFN,SIX SWISS EXCHANGE,JFN
HUBN,SIX SWISS EXCHANGE,HUBN
LUKN,SIX SWISS EXCHANGE,LUKN
REHN,SIX SWISS EXCHANGE,REHN
BVIC,LONDON STOCK EXCHANGE,BVIC
EMBRAC B,NASDAQ STOCKHOLM AB,EMBRAC B
CENER,EURONEXT - EURONEXT BRUSSELS,CENER
ESSITY B,NASDAQ STOCKHOLM AB,ESSITY B
HUSQ B,NASDAQ STOCKHOLM AB,HUSQ B
DIOS,NASDAQ STOCKHOLM AB,DIOS
SRS,ELECTRONIC SHARE MARKET,SRS
WAC,XETRA,WAC.DE
IPCO,NASDAQ STOCKHOLM AB,IPCO
MTRS,NASDAQ STOCKHOLM AB,MTRS
HALKB.E,BORSA ISTANBUL - EQUITY MARKET,HALKB.E
BETCO,NASDAQ STOCKHOLM AB,BETCO
MAERSK B,NASDAQ COPENHAGEN A/S,MAERSK B
VBK,XETRA,VBK.DE
ALK B,NASDAQ COPENHAGEN A/S,ALK B
NOVO B,NASDAQ COPENHAGEN A/S,NOVO B
RYA,IRISH STOCK EXCHANGE - ALL MARKET,RYA
SCHO,NASDAQ COPENHAGEN A/S,SCHO
AALB,EURONEXT - EURONEXT AMSTERDAM,AALB
CRBN,EURONEXT - EURONEXT AMSTERDAM,CRBN
TWEKA,EURONEXT - EURONEXT AMSTERDAM,TWEKA
ALESK,EURONEXT GROWTH PARIS,ALESK
MONT,EURONEXT - EURONEXT BRUSSELS,MONT
AAL,LONDON STOCK EXCHANGE,AAL
UKCM,LONDON STOCK EXCHANGE,UKCM
MB,ELECTRONIC SHARE MARKET,MB
B4B,XETRA,B4B.DE
CE,ELECTRONIC SHARE MARKET,CE
REC,ELECTRONIC SHARE MARKET,REC
SPM,ELECTRONIC SHARE MARKET,SPM
LDO,ELECTRONIC SHARE MARKET,LDO
ATCO A,NASDAQ STOCKHOLM AB,ATCO A
BOL,NASDAQ STOCKHOLM AB,BOL
ELUX B,NASDAQ STOCKHOLM AB,ELUX B
ERIC B,NASDAQ STOCKHOLM AB,ERIC B
FAG,NASDAQ STOCKHOLM AB,FAG
HUFV A,NASDAQ STOCKHOLM AB,HUFV A
NCC B,NASDAQ STOCKHOLM AB,NCC B
KGH,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,KGH
RATO B,NASDAQ STOCKHOLM AB,RATO B
SAND,NASDAQ STOCKHOLM AB,SAND
FSKRS,NASDAQ HELSINKI LTD,FSKRS
HUH1V,NASDAQ HELSINKI LTD,HUH1V
METSB,NASDAQ HELSINKI LTD,METSB
SPL,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,SPL
EOAN,XETRA,EOAN.DE
AFG,OSLO BORS ASA,AFG
ASM,EURONEXT - EURONEXT AMSTERDAM,ASM
TLV,SPOT REGULATED MARKET - BVB,TLV
HHFA,XETRA,HHFA.DE
ELIS,EURONEXT - EURONEXT PARIS,ELIS
CPS,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,CPS
SEPL,LONDON STOCK EXCHANGE,SEPL
HAUTO,OSLO BORS ASA,HAUTO
SRE,LONDON STOCK EXCHANGE,SRE
KIN,EURONEXT - EURONEXT BRUSSELS,KIN
DWNI,XETRA,DWNI.DE
SYSR,NASDAQ STOCKHOLM AB,SYSR
MED,SIX SWISS EXCHANGE,MED
FNOX,NASDAQ STOCKHOLM AB,FNOX
BNOR,OSLO BORS ASA,BNOR
EAT,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,EAT
VWS,NASDAQ COPENHAGEN A/S,VWS
ACP,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,ACP
GET,EURONEXT - EURONEXT PARIS,GET
LIFCO B,NASDAQ STOCKHOLM AB,LIFCO B
BIOG B,NASDAQ STOCKHOLM AB,BIOG B
JEN,XETRA,JEN.DE
KRU,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,KRU
TRGYO.E,BORSA ISTANBUL - EQUITY MARKET,TRGYO.E
MT,EURONEXT - EURONEXT AMSTERDAM,MT
TCELL.E,BORSA ISTANBUL - EQUITY MARKET,TCELL.E
MOR,XETRA,MOR.DE
SPIE,EURONEXT - EURONEXT PARIS,SPIE
BMED,ELECTRONIC SHARE MARKET,BMED
RDW,LONDON STOCK EXCHANGE,RDW
ADV,XETRA,ADV.DE
AAF,LONDON STOCK EXCHANGE,AAF
SECT B,NASDAQ STOCKHOLM AB,SECT B
ROVI,BOLSA DE MADRID,ROVI
SAGA A,NASDAQ STOCKHOLM AB,SAGA A
PHNX,LONDON STOCK EXCHANGE,PHNX
VGP,EURONEXT - EURONEXT BRUSSELS,VGP
ASELS.E,BORSA ISTANBUL - EQUITY MARKET,ASELS.E
KOZAL.E,BORSA ISTANBUL - EQUITY MARKET,KOZAL.E
IPS,EURONEXT - EURONEXT PARIS,IPS
WPP,LONDON STOCK EXCHANGE,WPP
CMBN,SIX SWISS EXCHANGE,CMBN
LEG,XETRA,LEG.DE
SPI,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),SPI
COL,BOLSA DE MADRID,COL
ALO,EURONEXT - EURONEXT PARIS,ALO
PEAB B,NASDAQ STOCKHOLM AB,PEAB B
DNP,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,DNP
