REHN,SIX SWISS EXCHANGE
BVIC,LONDON STOCK EXCHANGE
EMBRAC B,NASDAQ STOCKHOLM AB
CENER,EURONEXT - EURONEXT BRUSSELS
ESSITY B,NASDAQ STOCKHOLM AB
HUSQ B,NASDAQ STOCKHOLM AB
DIOS,NASDAQ STOCKHOLM AB
SRS,ELECTRONIC SHARE MARKET
WAC,XETRA
IPCO,NASDAQ STOCKHOLM AB
MTRS,NASDAQ STOCKHOLM AB
HALKB.E,BORSA ISTANBUL - EQUITY MARKET
BETCO,NASDAQ STOCKHOLM AB
MAERSK B,NASDAQ COPENHAGEN A/S
VBK,XETRA
ALK B,NASDAQ COPENHAGEN A/S
NOVO B,NASDAQ COPENHAGEN A/S
RYA,IRISH STOCK EXCHANGE - ALL MARKET
SCHO,NASDAQ COPENHAGEN A/S
AALB,EURONEXT - EURONEXT AMSTERDAM
CRBN,EURONEXT - EURONEXT AMSTERDAM
TWEKA,EURONEXT - EURONEXT AMSTERDAM
ALESK,EURONEXT GROWTH PARIS
MONT,EURONEXT - EURONEXT BRUSSELS
AAL,LONDON STOCK EXCHANGE
UKCM,LONDON STOCK EXCHANGE
MB,ELECTRONIC SHARE MARKET
B4B,XETRA
CE,ELECTRONIC SHARE MARKET
REC,ELECTRONIC SHARE MARKET
SPM,ELECTRONIC SHARE MARKET
LDO,ELECTRONIC SHARE MARKET
ATCO A,NASDAQ STOCKHOLM AB
BOL,NASDAQ STOCKHOLM AB
ELUX B,NASDAQ STOCKHOLM AB
ERIC B,NASDAQ STOCKHOLM AB
FAG,NASDAQ STOCKHOLM AB
HUFV A,NASDAQ STOCKHOLM AB
NCC B,NASDAQ STOCKHOLM AB
KGH,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
RATO B,NASDAQ STOCKHOLM AB
SAND,NASDAQ STOCKHOLM AB
FSKRS,NASDAQ HELSINKI LTD
HUH1V,NASDAQ HELSINKI LTD
METSB,NASDAQ HELSINKI LTD
SPL,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
EOAN,XETRA
AFG,OSLO BORS ASA
ASM,EURONEXT - EURONEXT AMSTERDAM
TLV,SPOT REGULATED MARKET - BVB
HHFA,XETRA
ELIS,EURONEXT - EURONEXT PARIS
CPS,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
SEPL,LONDON STOCK EXCHANGE
HAUTO,OSLO BORS ASA
SRE,LONDON STOCK EXCHANGE
KIN,EURONEXT - EURONEXT BRUSSELS
DWNI,XETRA
SYSR,NASDAQ STOCKHOLM AB
MED,SIX SWISS EXCHANGE
FNOX,NASDAQ STOCKHOLM AB
BNOR,OSLO BORS ASA
EAT,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
VWS,NASDAQ COPENHAGEN A/S
ACP,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
GET,EURONEXT - EURONEXT PARIS
LIFCO B,NASDAQ STOCKHOLM AB
BIOG B,NASDAQ STOCKHOLM AB
JEN,XETRA
KRU,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
TRGYO.E,BORSA ISTANBUL - EQUITY MARKET
MT,EURONEXT - EURONEXT AMSTERDAM
TCELL.E,BORSA ISTANBUL - EQUITY MARKET
MOR,XETRA
SPIE,EURONEXT - EURONEXT PARIS
BMED,ELECTRONIC SHARE MARKET
RDW,LONDON STOCK EXCHANGE
ADV,XETRA
AAF,LONDON STOCK EXCHANGE
SECT B,NASDAQ STOCKHOLM AB
ROVI,BOLSA DE MADRID
SAGA A,NASDAQ STOCKHOLM AB
PHNX,LONDON STOCK EXCHANGE
VGP,EURONEXT - EURONEXT BRUSSELS
ASELS.E,BORSA ISTANBUL - EQUITY MARKET
KOZAL.E,BORSA ISTANBUL - EQUITY MARKET
IPS,EURONEXT - EURONEXT PARIS
WPP,LONDON STOCK EXCHANGE
CMBN,SIX SWISS EXCHANGE
LEG,XETRA
SPI,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET)
COL,BOLSA DE MADRID
ALO,EURONEXT - EURONEXT PARIS
PEAB B,NASDAQ STOCKHOLM AB
DNP,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
NCAB,NASDAQ STOCKHOLM AB
FER,BOLSA DE MADRID
WOSG,LONDON STOCK EXCHANGE
XFAB,EURONEXT - EURONEXT PARIS
DIGI,SPOT REGULATED MARKET - BVB
OX2,NASDAQ STOCKHOLM AB
TRN,LONDON STOCK EXCHANGE
RAA,XETRA
IFX,XETRA
AIR,EURONEXT - EURONEXT PARIS
PSPN,SIX SWISS EXCHANGE
AOF,XETRA
ASRNL,EURONEXT - EURONEXT AMSTERDAM
VOLCAR B,NASDAQ STOCKHOLM AB
RWS,LONDON STOCK EXCHANGE
SRT,XETRA
SON,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL
LSG,OSLO BORS ASA
ITH,LONDON STOCK EXCHANGE
